Region,Site,Plant,Rep,Row,OrderGard,Unique,Biomass_g,codedup,Chemo,a_thujene,a_pinene,sabinene,b_pinene,octen_3_ol,myrcene,a_phellandrene,carene,a_terpinene,p_cymene,limonene,beta_ocimene,gama_terpinene,cis_sab_hydrate,trans_sab_hydrate,borneol,terp_4_ol,cym_8_ol,a_terpineol,nerol,isoborneol_formate,thymoquinone,geraniol,geranial,thymol,carvacrol,eugenol,caryophyllene,germ_D,total,totTC
MT,MS,152,B,8,156,297,0.786,152B,T,0.049,0.014,0.007,0.005,0.015,0.069,0.012,0.003,0.128,0.392,0.031,0,0.388,0.082,0.004,0,0,0,0,0,0,2.476,0,0,2.373,0.235,0,0,0,6.282,2.608
WI,BEN,169,E,8,157,219,1.878,169E,T,0.073,0.013,0.006,0.003,0.229,0.07,0.014,0.006,0.1,0.344,0.032,0,0.168,0.023,0,0,0,0,0,0,0.035,1.815,0,0,5.173,0.329,0,0.01,0.02,8.464,5.502
WI,SRD,174,B,8,158,285,1.332,174B,T,0.023,0,0.003,0,0.046,0.034,0.007,0.002,0.054,0.158,0.013,0,0.095,0,0,0,0,0,0,0,0.014,1.401,0,0,0.923,0,0,0,0,2.775,0.923
MT,CWN,43,A,8,159,44,0.148,43A,T,0.111,0.015,0.012,0.006,0.064,0.121,0.022,0.009,0.204,0.917,0.06,0,0.634,0.044,0.005,0,0.009,0,0.004,0,0.105,5.268,0,0,1.938,0.082,0,0,0,9.63,2.02
MT,NH,222,A,8,160,41,0.471,222A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MT,NH,11,A,9,161,210,0.847,11A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MT,CWN,47,B,9,162,171,1.2934,47B,C,0.044,0.008,0,0,0.11,0.064,0.008,0,0.084,0.456,0.02,0,0.308,0.02,0,0,0,0,0,0,0.115,2.773,0,0,0.007,3.241,0,0,0,7.257,3.248
MT,NH,224,A,9,163,89,0.768,224A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WI,BEN,172,D,9,164,196,2.6505,172D,T,0,0,0,0,0.096,0.032,0.011,0.005,0.048,0.21,0.01,0,0.202,0.013,0,0,0,0,0,0,0.013,1.465,0,0,1.298,0.092,0,0,0,3.496,1.39
WI,BEN,167,C,9,165,199,1.2801,167C,T,0.02,0.006,0,0,0.044,0.028,0.004,0,0.042,0.163,0.013,0,0.094,0.009,0,0,0,0,0,0,0.018,1.181,0,0,1.659,0.048,0,0,0,3.329,1.707
WI,BEN,171,D,9,166,287,2.439,171D,G,0,0,0,0,0.04,0.027,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,7.042,0.045,0,0,0,0,0,7.176,0
MT,MS,161,E,9,167,40,1.437,161E,T,0.181,0.033,0.021,0.012,0.024,0.196,0.03,0.011,0.305,1.54,0.097,0.007,1.13,0.522,0.127,0.042,0.063,0.006,0.049,0,0.093,3.195,0,0,40.428,3.009,0.062,0,0.012,51.194,43.437
MT,MS,161,D,9,168,229,1.9751,161D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WI,BEN,169,C,9,169,187,2.8383,169C,T,0.031,0.008,0.002,0,0.258,0.048,0.01,0.003,0.084,0.283,0.02,0,0.299,0.014,0,0,0,0,0,0,0,1.614,0,0,2.937,0.135,0,0,0,5.746,3.072
MT,MS,160,D,9,170,290,1.125,160D,T,0.127,0.031,0.026,0.011,0.061,0.166,0.027,0.008,0.268,0.774,0.077,0.006,0.511,0.062,0.009,0,0.013,0,0,0,0,3.998,0,0,13.4,0.986,0,0,0,20.561,14.386
MT,MS,159,A,9,171,283,1.329,159A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MT,CWN,52,A,9,172,231,0.955,52A,T,0.094,0.011,0.012,0.004,0.118,0.132,0.026,0.006,0.251,0.905,0.059,0.004,1.098,0.065,0.015,0,0.009,0,0.005,0,0.065,8.353,0,0,3.713,0.254,0,0,0.006,15.203,3.967
MT,CWN,48,A,9,173,2,1.198,48A,T,0.085,0.014,0.006,0.003,0.048,0.111,0.021,0.005,0.207,0.808,0.057,0,0.828,0.05,0.01,0.002,0.001,0,0.003,0,0.065,6.253,0,0,2.903,0.101,0,0,0,11.579,3.004
MT,CWN,230,B,9,174,221,0.7134,230B,T,0.035,0,0.005,0.004,0.049,0.052,0.008,0.002,0.099,0.316,0.015,0,0.412,0.023,0,0,0,0,0,0,0.023,2.947,0,0,3.827,0.32,0,0,0,8.137,4.147
WI,BEN,209,C,9,175,176,3.3639,209C,T,0.04,0.007,0,0,0.052,0.039,0,0,0.019,0.277,0.021,0,0.275,0.013,0,0,0,0,0,0,0,1.022,0,0,2.78,0.194,0,0,0,4.739,2.974
WI,BEN,209,C,9,175,176,3.3639,209C,T,0.059,0.018,0.009,0.003,0.944,0.064,0.01,0.007,0.079,1.372,0.03,0,0.53,0.189,0.042,0.01,0.026,0.017,0.016,0,0.217,3.989,0,0,15.717,0.3,0,0,0,23.647,16.017
WI,BEN,170,D,9,176,280,1.103,170D,T,0.05,0.012,0.006,0.003,0.644,0.07,0.012,0.005,0.102,0.625,0.042,0,0.437,0.086,0.018,0,0.015,0,0.012,0,0.128,3.245,0,0,10.87,0.319,0,0,0,16.699,11.189
MT,CWN,45,B,9,177,299,1.573,45B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MT,MJS,66,A,9,178,141,0.496,66A,C,0.204,0.024,0.029,0.01,0.032,0.226,0.039,0.011,0.373,1.191,0.086,0.019,2.807,0.254,0.049,0.021,0.04,0.005,0.034,0.01,0.173,7.977,0,0.002,0.195,32.084,0.054,0.002,0.029,45.981,32.279
WI,BEN,209,B,9,179,342,1.507,209B,C,0.015,0.005,0.002,0.003,0.107,0.022,0.004,0.005,0.008,1.411,0.016,0,0.162,0.023,0.004,0,0,0.03,0,0,0.013,0.868,0,0,0.004,0.929,0,0,0,3.631,0.933
WI,BOL,18,B,9,180,21,1.073,18B,C,0.008,0,0,0,0.129,0.008,0,0,0.005,0.607,0.009,0,0.059,0.014,0,0,0,0.017,0,0,0,0.652,0,0,0.006,1.162,0,0,0,2.676,1.168
WI,BOL,18,B,9,180,21,1.073,18B,C,0,0,0,0,0.096,0.012,0,0,0.005,0.661,0,0,0.033,0.012,0,0,0,0,0,0,0,0.509,0,0,0,0.214,0,0,0,1.542,0.214
WI,BEN,167,A,11,219,61,0.466,167A,T,0.185,0.023,0.017,0.005,0,0.185,0.035,0.014,0.349,0.958,0.073,0,1.606,0.141,0.024,0.016,0.017,0,0.012,0,0.085,7.023,0,0,19.384,1.249,0.033,0,0,31.435,20.633
MT,BF,214,A,10,182,134,0.6461,214A,C,0.046,0.029,0.004,0,0.039,0.08,0,0,0.1,0.512,0.03,0,0.423,0.026,0,0,0,0,0,0,0.1,1.743,0,0,0.007,5.293,0,0,0,8.433,5.3
MT,BF,215,A,10,183,1,0.857,215A,C,0.128,0.026,0.023,0.005,0.051,0.172,0.028,0.008,0.281,1.072,0.072,0,1.672,0.071,0.013,0.005,0.008,0,0.009,0,0.012,3.991,0,0,0.033,12.356,0,0,0,20.04,12.389
WI,UWM,33,A,10,184,357,1.4493,33A,C,0.038,0.007,0.003,0.001,0.066,0.05,0.006,0.001,0.045,0.28,0.021,0,0.142,0.014,0,0,0,0,0,0,0,0.898,0,0,0.007,3.296,0,0,0,4.877,3.303
WI,BOL,18,A,10,185,121,1.579,18A,C,0.035,0.006,0,0,0.272,0.047,0.001,0,0.044,0.409,0.021,0,0.206,0.057,0.011,0,0.001,0,0,0,0.005,3.156,0,0,0.008,7.774,0,0,0,12.054,7.782
WI,SRD,176,A,10,186,148,1.2888,176A,T,0.031,0,0.012,0,0.28,0.049,0.009,0,0.073,0.302,0.022,0,0.233,0.036,0,0,0,0,0,0,0.054,2.472,0,0,6.39,0.251,0,0,0,10.213,6.641
